iso3c,year,cc_est,ge_est,pv_est,rq_est,rl_est,va_est,state_capacity_wgi
GUY,2020,-0.173186764,-0.446742803,-0.13755472,-0.536126554,-0.433576524,0.212521523,-0.39740816125
GUY,2021,-0.187317982,-0.261401027,-0.137113199,-0.522020161,-0.416621566,0.239529952,-0.346840184
GUY,2022,-0.295522034,-0.266314894,0.020733567,-0.527693391,-0.3134377,0.193488836,-0.35074200475
GUY,2023,-0.383745015,-0.294487,-0.055172037,-0.563037872,-0.342232913,0.148810402,-0.39587570000000005
HND,2000,-0.969870448,-0.579896092,-0.078596383,-0.565024197,-0.998041213,-0.098604575,-0.7782079875
HND,2002,-1.019552112,-0.685433745,-0.252441436,-0.536085248,-0.879591942,-0.162654772,-0.7801657617500001
HND,2003,-0.974429309,-0.761468172,-0.379858077,-0.5933339,-0.936451733,-0.177857652,-0.8164207785
HND,2004,-0.946081817,-0.716462851,-0.391061932,-0.42958352,-0.850290716,-0.340818167,-0.735604726
HND,2005,-0.81975615,-0.680190563,-0.623264194,-0.625240624,-0.77110076,-0.345806867,-0.72407202425
HND,2006,-0.833331823,-0.660407066,-0.667903721,-0.457659006,-0.988683164,-0.139432833,-0.7350202647499999
HND,2007,-0.791543305,-0.553879499,-0.437030196,-0.28270238600000003,-0.928942919,-0.192796737,-0.6392670272500001
HND,2008,-0.915665329,-0.622831583,-0.527115524,-0.316503912,-0.971363068,-0.294657081,-0.706590973
HND,2009,-0.908242762,-0.674577832,-0.308192104,-0.310121268,-0.895501971,-0.532957137,-0.69711095825
HND,2010,-0.889169753,-0.636895478,-0.496909589,-0.246572301,-0.875314057,-0.503610492,-0.66198789725
HND,2011,-0.833935797,-0.520890951,-0.390435368,-0.152864039,-0.905360878,-0.468656331,-0.6032629162500001
HND,2012,-0.955132008,-0.691542149,-0.350115597,-0.205009326,-1.146425009,-0.469777703,-0.749527123
HND,2013,-0.94505918,-0.724005818,-0.438611597,-0.197600991,-1.1730299,-0.474992007,-0.75992397225
HND,2014,-0.787561238,-0.812356412,-0.534083962,-0.408311367,-0.94330734,-0.40925014,-0.7378840892499999
HND,2015,-0.589746416,-0.859404504,-0.472757906,-0.417710304,-0.942611635,-0.421847492,-0.70236821475
HND,2016,-0.67940253,-0.763441384,-0.437456161,-0.530846298,-1.136926413,-0.438270062,-0.77765415625
HND,2017,-0.738785088,-0.530908048,-0.565637112,-0.451085269,-1.060413837,-0.440318972,-0.6952980605000001
